1,"Qual é o comando para ver a versão do Windows?","ver","dir","cd","time","ipconfig",1
2,"O que faz o comando cd?", "Ver a versão do Windows","Entrar em um diretório", "Criar uma pasta", "Copiar um arquivo", "Limpar a tela", 2
3,"Para que serve o comando mkdir?", "Criar uma pasta no diretório atual", "Listar os diretórios", "Renomear um arquivo", "Limpar a tela", "Copiar um arquivo", 1
4,"Como você lista os diretórios no prompt de comando?", "dir", "cls", "cd", "ver", "rd", 1
5,"O que o comando move faz?", "Mover um arquivo/pasta para outro diretório", "Renomear uma pasta", "Copiar um arquivo", "Listar os diretórios", "Entrar em um diretório", 1
6,"Para que serve o comando rd?", "Copiar um arquivo", "Renomear uma pasta", "Criar uma pasta no diretório atual", "Listar os diretórios", "Remover/deletar uma pasta no diretório atual", 5
7,"Como você copia um arquivo específico dentro de uma pasta?", "listar os diretórios", "Criar uma pasta no diretório atual", "Renomear um arquivo", "Copiar um arquivo", "Utilizar o comando copy", 4
8,"O que o comando arp -a faz?", "Mostra o horário atual da máquina", "Copia todos os arquivos dentro de uma pasta", "Mostra a interface de rede com os IPs", "Cria uma pasta no diretório atual", "Ver a versão do Windows", 3
9,"Qual é o propósito do comando time?", "Modificar o horário atual do Windows", "Renomear uma pasta", "Mostrar a versão do Windows", "Listar os diretórios", "Ver ou modificar o horário atual da máquina", 5
10,"O que o comando ipconfig faz?", "Listar os diretórios", "Mostra as configurações de rede da máquina atual", "Copiar um arquivo", "Limpar a tela", "Criar uma pasta no diretório atual", 2
11,"Qual comando limpa a tela no PowerShell?", "limpar", "clear", "refresh", "clean", "clean_screen", 2
12,"Como listar diretórios no PowerShell?", "ld", "listdir", "showdir", "ls", "list", 4
13,"O que o comando mkdir faz no PowerShell?", "Renomear uma pasta", "Copiar um arquivo", "Criar uma pasta", "Listar os diretórios", "Mover uma pasta", 3
14,"Qual comando é utilizado para navegar entre pastas no PowerShell?", "cn", "change", "cd", "switch", "sw", 3
15,"Qual comando é utilizado para copiar todos os arquivos de dentro de uma pasta no PowerShell?", "xcopy", "copyall", "copyfiles", "cp", "copy", 4
16,"O que o comando mv faz no PowerShell?", "Mostra as configurações de rede", "Mover uma pasta", "Limpar a tela", "Renomear uma pasta", "Copiar um arquivo", 2
17,"Qual comando é equivalente ao ipconfig no PowerShell?", "configip", "show-ip", "netinfo", "arp -a", "ipconfig", 5
18,"O que o comando rn faz no PowerShell?", "Alterar o nome de um arquivo", "Remover/deletar uma pasta", "Mostrar a versão do Windows", "Criar uma nova pasta", "Copiar um arquivo", 1
19,"Como é chamado o comando equivalente ao arp -a no PowerShell?", "arp -a", "networkinfo", "show-arp", "netinfo", "arptable", 1
20,"Qual é o objetivo do comando du?", "Compactar arquivos", "Empacotar arquivos", "Listar o tamanho de uma pasta ou diretório", "Localizar arquivos na máquina", "Descompactar arquivos", 3
21,"O que o comando tar faz?", "Empacotar arquivos", "Desempacotar arquivos", "Compactar arquivos", "Localizar arquivos na máquina", "Modificar o tamanho de uma pasta ou diretório", 1
22,"Como podemos empacotar arquivos usando o comando tar?", "tar -xf [arquivo1] [arquivo2] [arquivo3]", "tar -tf [arquivo]", "tar -cf [nome].tar [arquivo1] [arquivo2] [arquivo3]", "tar -czf [nome].tar [arquivo1] [arquivo2] [arquivo3]", "tar -cjf [nome].tar [arquivo1] [arquivo2] [arquivo3]", 3
23,"Qual é a finalidade do comando tar -xf?", "Descompactar arquivos", "Localizar arquivos na máquina", "Empacotar arquivos", "Modificar o tamanho de uma pasta ou diretório", "Compactar arquivos", 1
24,"Como você compacta arquivos usando gzip?", "gzip -df [arquivo]", "tar -cf [nome].tar [arquivo1] [arquivo2] [arquivo3]", "gzip -[nome].gzip.tar [arquivo1] [arquivo2] [arquivo3]", "tar -czf [nome].tar [arquivo1] [arquivo2] [arquivo3]", "tar -cjf [nome].tar [arquivo1] [arquivo2] [arquivo3]", 4
25,"Como descompactamos arquivos usando o comando tar?", "tar -tf [arquivo]", "tar -xf [arquivo]", "tar -cjf [arquivo]", "tar -czf [arquivo]", "tar -x{j/z}f [arquivo]", 5
26,"O que o comando find faz?", "Empacotar arquivos", "Descompactar arquivos", "Listar o tamanho de uma pasta ou diretório", "Localizar arquivos ou diretórios na máquina", "Compactar arquivos", 4
27,"Como utilizamos o find para localizar arquivos em um diretório específico?", "find (diretório) -iname (nome)", "find (diretório) -size", "find (diretório) -type", "find (diretório) -iname (nome)", "find (diretório) -type", 1
28,"Para localizar arquivos por tamanho, qual parâmetro utilizamos com o comando find?", "-iname", "-size", "-type", "-tf", "-x{j/z}f", 2
29,"O que o parâmetro -type faz no comando find?", "Localiza apenas arquivos de um certo tipo", "Lista os arquivos dentro de um arquivo comprimido", "Descomprime os arquivos", "Compacta os arquivos", "Localiza apenas diretórios", 1
30,"Qual é o comando utilizado para localizar arquivos maiores que 10MB usando o comando find?", "find (diretório) -iname (nome)*", "find (diretório) -size", "find (diretório) -type", "find (diretório) -size -10mb", "find (diretório) -size -10mb", 4
31,"Quais são os dois métodos de compactação de arquivos?", "gzip e xcopy", "bzip e ls", "gzip e bzip", "du e tar", "du e ls", 3
32,"O que a opção -h faz no comando du?", "Lista os arquivos dentro de um arquivo comprimido", "Descomprime os arquivos", "Localiza apenas arquivos de um certo tipo", "Lista o tamanho(espaço ocupado) de uma pasta ou diretório", "Lista o nome dos arquivos contidos em um arquivo empacotado", 4
33,"Qual é o objetivo do comando tar -tf?", "Descomprime os arquivos", "Localiza os nomes dos arquivos contidos em um arquivo empacotado", "Compacta os arquivos", "Localiza arquivos ou diretórios na máquina", "Empacota os arquivos", 2
34,"Como utilizamos o comando tar -x{j/z}f para descomprimir arquivos em gzip?", "tar -tf [arquivo]", "tar -x{j/z}f [arquivo]", "tar -xf [arquivo]", "tar -xzf [arquivo]", "tar -xzf [arquivo]", 4
35,"Qual comando ativa o modo root no terminal do Ubuntu?", "su", "sudo", "root", "mode-root", "activate-root", 1
36,"Como podemos visualizar o histórico de comandos executados na sessão do terminal?", "history", "show-history", "command-history", "view-history", "list-history", 1
37,"Qual comando é usado para reiniciar a máquina no terminal do Ubuntu?", "reboot", "restart", "shutdown -r", "power-off", "boot", 1
38,"Como desligamos a máquina no terminal do Ubuntu?", "shutdown", "reboot", "power-off", "shut-down", "shut-off", 1
39,"O que o comando apt-get update faz no terminal do Ubuntu?", "Atualiza completamente o sistema", "Atualiza as partes essenciais do Linux", "Instala pacotes", "Remove os arquivos e pacotes de um serviço", "Reinicia a máquina", 2
40,"Qual é a finalidade do comando apt-get upgrade?", "Atualiza completamente o sistema", "Atualiza as partes essenciais do Linux", "Instala pacotes", "Remove os arquivos e pacotes de um serviço", "Reinicia a máquina", 1
41,"Após utilizar os comandos update ou upgrade, qual comando é utilizado para limpar os pacotes que foram substituídos por um pacote atualizado no terminal do Ubuntu?", "apt-get update", "apt-get upgrade", "apt-get install", "apt-get autoremove", "apt-get remove", 4
42,"O que o comando apt-get install faz no terminal do Ubuntu?", "Faz uma atualização das partes essenciais do Linux", "Atualiza completamente o sistema", "Instala pacotes", "Remove os arquivos e pacotes de um serviço", "Reinicia a máquina", 3
43,"Qual destes comandos remove os arquivos e pacotes de um serviço que estão sendo utilizados no terminal do Ubuntu?", "apt-get update", "apt-get upgrade", "apt-get install", "apt-get autoremove", "apt-get remove", 5
44,"Como criamos um arquivo de texto editado pelo vim no terminal do Ubuntu?", "vim -create [nome_arquivo]", "vim [nome_arquivo]", "vim -text [nome_arquivo]", "vim -edit [nome_arquivo]", "vim [nome_arquivo]", 2
45,"Qual tecla pressionamos dentro do vim para inserir texto?", "e", "i", "t", "v", "r", 2
46,"Após sair da inserção no vim, qual tecla pressionamos para salvar?", "a", "s", "q", "w", "r", 4
47,"Como saímos do vim no terminal do Ubuntu?", "esc", "exit", "quit", "wq", "qw", 4
48,"Como instalamos arquivos e programas .deb no terminal do Ubuntu?", "apt-get install [nome_arquivo.deb]", "dpkg -i [nome_arquivo.deb]", "install [nome_arquivo]", "download [nome_arquivo.deb]", "upgrade [nome_arquivo.deb]", 2
49,"Qual o comando que utilizamos para instalar pacotes .deb baixados no dispositivo no terminal do Ubuntu?", "dpkg -i [nome_arquivo]", "apt-get install [nome_arquivo]", "install [nome_arquivo]", "download [nome_arquivo.deb]", "upgrade [nome_arquivo.deb]", 1
50,"Qual é a ferramenta utilizada para buscar dispositivos conectados na internet, encontrando aplicações vulneráveis/desatualizadas?", "Shodan", "Google Hacking Database", "Maltego", "FOCA", "Metaexplorer", 1
51,"Quais os comandos/filtros que podem ser usados no Shodan para pesquisar por dispositivos específicos ou faixas de endereços IP?", "after, before", "net, org", "port, http.title", "os, geo", "net, org, port", 4
52,"O que o Maltego é capaz de buscar?", "Apenas domínios de sites", "Números de telefone", "Informações de contato de empresas", "Culinária e receitas", "Domínios, pessoas, emails, endereços", 5
53,"Qual a finalidade do FOCA?", "Rastrear atividades de redes sociais", "Criar perfis falsos e compartilhar conteúdo ilegal", "Mapear os metadados contidos em arquivos, gerando uma lista de usuários, versão do software, etc.", "Realizar scans de vulnerabilidades de sistemas", "Monitoramento de tráfego de internet", 3
